Description,Drivetrain,Manufacturer,ModelName,ModelNumber,ModelYear,Package,PassDoors,TrimName,engine_type
3.5t Sport Quilting Awd,ALL_WHEEL_DRIVE,GENESIS,GV70,V7CW5K3BGS00,2026,470389,4,3.5T Sport Quilting,3.5t
3.5t Sport Suede Awd,ALL_WHEEL_DRIVE,GENESIS,GV70,V7CW5K3BGSAU,2026,473370,4,3.5T Sport Suede,3.5t
2.5t Advanced Awd 5-Passenger,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW5K2DGA00,2026,479284,4,2.5T Advanced,2.5t
2.5t Advanced With-Technology Package Awd 5-Passenger,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW5K2DGA55,2026,479285,4,2.5T Advanced,2.5t
3.5t Advanced With-Technology Package Awd 7-Passenger,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW7K3BGA55,2026,479286,4,3.5T Advanced,3.5t
3.5t Prestige Awd 7-Passenger,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW7K3BGP00,2026,479287,4,3.5T Prestige,3.5t
3.5t Prestige Awd 7-Passenger Black-Package,ALL_WHEEL_DRIVE,GENESIS,GV80,V8CW7K3BGPBL,2026,479288,4,3.5T Prestige Black,3.5t
3.5t E-Sc Awd,ALL_WHEEL_DRIVE,GENESIS,GV80 Coupe,V8CC7K3BGP00,2026,479433,4,3.5T electric,3.5t
3.5t E-Sc Prestige Black-Package Awd,ALL_WHEEL_DRIVE,GENESIS,GV80 Coupe,V8CC7K3BGPBL,2026,479434,4,3.5T electric Prestige Black,3.5t
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra,ELCS4V2BES00,2024,449710,4,Essential,
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra,ELCS4V2BPR00,2024,449711,4,Preferred,
Preferred Ivt W/tech Package,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra,ELCS4V2BPRTE,2024,449712,4,Preferred,
Luxury Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra,ELCS4V2BLU00,2024,449713,4,Luxury,
Luxury Ivt W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra,ELCS4V2BLUME,2024,449714,4,Luxury,
N-Line Ultimate Dct,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra,ELCS4U1ANLUL,2024,449715,4,N-Line Ultimate,
Luxury Dct,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra Hybrid,ELHS4T1BLUHE,2024,449812,4,Luxury,hybrid
Luxury Dct W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra Hybrid,ELHS4T1BLUHM,2024,449813,4,Luxury,hybrid
Manual,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra N,ELCS472ANN00,2024,456372,4,,
Dct,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra N,ELCS4M2ANN00,2024,456373,4,,
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,IONIQ 5,I5EW5ZE4PRLR,2024,449830,4,Preferred,
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 5,I5EW5ZE2PRLR,2024,449831,4,Preferred,
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 5,I5EW5ZE2PRUP,2024,449832,4,Preferred,
Preferred Awd Long Range W/luxury Package *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 5,I5EW5ZE2PRLP,2024,449833,4,Preferred,
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,IONIQ 6,I6ES4ZE4PRLR,2024,449183,4,Preferred,
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 6,I6ES4ZE2PRLR,2024,449184,4,Preferred,
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 6,I6ES4ZE2PRUP,2024,449185,4,Preferred,
Preferred Rwd Long Range W/ultimate Package,REAR_WHEEL_DRIVE,HYUNDAI,IONIQ 6,I6ES4ZE4PRUP,2024,449186,4,Preferred,
2.0l Essential Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5V2BES00,2024,446865,4,Essential,
2.0l Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5V2BPR00,2024,446866,4,Preferred,
2.0l Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5Q2BES00,2024,446867,4,Essential,
2.0l Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5Q2BPR00,2024,446868,4,Preferred,
2.0l Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5Q2BPRTR,2024,446869,4,Preferred,
1.6t N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5K1ANL00,2024,446870,4,N-Line,
1.6t N-Line Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5K1ANLTT,2024,446871,4,N-Line,
1.6t N-Line Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5K1ANLUL,2024,446872,4,N-Line Ultimate,
1.6t N-Line Ultimate Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5K1ANLBA,2024,446887,4,N-Line Ultimate,
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KEEW5ZE4PR00,2024,451911,4,Preferred,electric
Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KEEW5ZE4UL00,2024,451912,4,Ultimate,electric
Ultimate Fwd W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KEEW5ZE4ULTT,2024,451913,4,Ultimate,electric
Ultimate Fwd W/sage-Green Interior,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KEEW5ZE4ULBF,2024,451914,4,Ultimate,electric
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,NEXO,NXFW5ZH1PR00,2024,452614,4,Preferred,
Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,NEXO,NXFW5ZH1UL00,2024,452615,4,Ultimate,
Preferred 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade,PACW8K3DPR00,2024,443076,4,Preferred,
Urban 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade,PACW8K3DUR00,2024,443077,4,Urban,
Urban 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade,PACW7K3DUR91,2024,443078,4,Urban,
Ultimate Calligraphy 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade,PACW7K3DULC7,2024,443079,4,Ultimate Calligraphy,
Ultimate Calligraphy W/beige 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade,PACW7K3DULCB,2024,443080,4,Ultimate Calligraphy,
Preferred Awd *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,Santa Cruz,SZCP5N2DPR00,2024,445090,4,Preferred,
Trend Awd *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,Santa Cruz,SZCP5N2DPRTR,2024,445091,4,Trend,
Ultimate Awd *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,Santa Cruz,SZCP5N2DUL00,2024,445092,4,Ultimate,
Ultimate Awd W/colour Package *ltd Avail*,ALL_WHEEL_DRIVE,HYUNDAI,Santa Cruz,SZCP5N2DUL95,2024,445093,4,Ultimate,
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,Santa Cruz,SZCP5N2DPRBB,2024,452018,4,Preferred,
Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,Santa Cruz,SZCP5N2DPRBC,2024,452019,4,Trend,
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,Santa Cruz,SZCP5N2DULBB,2024,452020,4,Ultimate,
Ultimate Awd W/colour Package,ALL_WHEEL_DRIVE,HYUNDAI,Santa Cruz,SZCP5N2DULBD,2024,452021,4,Ultimate,
Ultimate Calligraphy Awd,ALL_WHEEL_DRIVE,HYUNDAI,Santa Fe,SACW6N2DULBG,2024,454772,4,Ultimate Calligraphy,
Xrt Awd,ALL_WHEEL_DRIVE,HYUNDAI,Santa Fe,SACW7N2DXR00,2024,454773,4,XRT,
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,Santa Fe,SACW7N2DLU00,2024,454774,4,Luxury,
Ultimate Calligraphy Awd W/beige Interior,ALL_WHEEL_DRIVE,HYUNDAI,Santa Fe,SACW6N2DULBH,2024,454775,4,Ultimate Calligraphy,
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,Santa Fe Hybrid,SAHW7G1APRHE,2024,454776,4,Preferred,hybrid
Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,Santa Fe Hybrid,SAHW7G1APRTH,2024,454777,4,Preferred,hybrid
Ultimate Calligraphy Nhl Special Edition Awd,ALL_WHEEL_DRIVE,HYUNDAI,Santa Fe Hybrid,SAHW6G1AULCS,2024,458472,4,Ultimate Calligraphy NHL Special Edition,hybrid
2.5l Preferred-Trend Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Sonata,SOCS4J2EPRTR,2024,452616,4,Preferred-Trend,
2.5t N-Line Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Sonata,SOCS4M2DNL00,2024,452617,4,N-Line Ultimate,
2.5l Preferred-Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,Sonata,SOCS4K2EPRTR,2024,452618,4,Preferred-Trend,
Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,Tucson,TUCWDK2EPR00,2024,446281,4,Preferred,
Trend Awd,ALL_WHEEL_DRIVE,HYUNDAI,Tucson,TUCWDK2EPRTR,2024,446282,4,Trend,
Luxury Awd,ALL_WHEEL_DRIVE,HYUNDAI,Tucson Hybrid,TUHWDG1ALUHE,2024,446278,4,Luxury,hybrid
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,Tucson Hybrid,TUHWDG1AULHE,2024,446279,4,Ultimate,hybrid
N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,Tucson Hybrid,TUHWDG1ANLHE,2024,446280,4,N-Line,hybrid
Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,Tucson Plug-In Hybrid,TUPWDG1AULPH,2024,446277,4,Ultimate,hybrid
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,Venue,VNCW5V1FES00,2024,449815,4,Essential,
Essential Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,Venue,VNCW5V1FESTT,2024,449816,4,Essential,
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,Venue,VNCW5V1FPR00,2024,449817,4,Preferred,
Preferred Ivt W/two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,Venue,VNCW5V1FPRTT,2024,449818,4,Preferred,
Ultimate Ivt W/black Interior,FRONT_WHEEL_DRIVE,HYUNDAI,Venue,VNCW5V1FUL00,2024,449819,4,Ultimate,
Ultimate Ivt W/denim Interior,FRONT_WHEEL_DRIVE,HYUNDAI,Venue,VNCW5V1FULCP,2024,449820,4,Ultimate,
Essential Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra,ELCS4V2BES00,2025,462584,4,Essential,
Preferred Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra,ELCS4V2BPR00,2025,462585,4,Preferred,
Preferred Ivt W/tech Package,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra,ELCS4V2BPRTE,2025,462586,4,Preferred,
Luxury Ivt,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra,ELCS4V2BLU00,2025,462587,4,Luxury,
Luxury Ivt W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra,ELCS4V2BLUME,2025,462588,4,Luxury,
N-Line Ultimate Dct,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra,ELCS4U1ANLUL,2025,462589,4,N-Line Ultimate,
Luxury Dct,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra Hybrid,ELHS4T1BLUHE,2025,462706,4,Luxury,hybrid
Luxury Dct W/two-Tone Interior,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra Hybrid,ELHS4T1BLUHM,2025,462707,4,Luxury,hybrid
Manual,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra N,ELCS472ANN00,2025,462700,4,,
Dct,FRONT_WHEEL_DRIVE,HYUNDAI,Elantra N,ELCS4M2ANN00,2025,462701,4,,
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,IONIQ 5,I5EW5ZE4PRLR,2025,469170,4,Preferred,
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 5,I5EW5ZE2PRLR,2025,469171,4,Preferred,
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 5,I5EW5ZE2PRUP,2025,469172,4,Preferred,
Preferred Rwd Standard Range,REAR_WHEEL_DRIVE,HYUNDAI,IONIQ 5,I5EW5ZE4PRPR,2025,469173,4,Preferred,
Awd,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 5 N,I5EW5ZE3NN00,2025,456472,4,,
Preferred Rwd Long Range,REAR_WHEEL_DRIVE,HYUNDAI,IONIQ 6,I6ES4ZE4PRLR,2025,462828,4,Preferred,
Preferred Awd Long Range,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 6,I6ES4ZE2PRLR,2025,462829,4,Preferred,
Preferred Awd Long Range W/ultimate Package,ALL_WHEEL_DRIVE,HYUNDAI,IONIQ 6,I6ES4ZE2PRUP,2025,462830,4,Preferred,
2.0l Essential Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5V2BES00,2025,461888,4,Essential,
2.0l Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5V2BPR00,2025,461889,4,Preferred,
2.0l Essential Awd,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5Q2BES00,2025,461890,4,Essential,
2.0l Preferred Awd,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5Q2BPR00,2025,461891,4,Preferred,
2.0l Preferred Awd W/trend Package,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5Q2BPRTR,2025,461892,4,Preferred,
1.6t N-Line Awd,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5K1ANL00,2025,461893,4,N-Line,
1.6t N-Line Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5K1ANLTT,2025,461894,4,N-Line,
1.6t N-Line Ultimate Awd,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5K1ANLUL,2025,461895,4,N-Line Ultimate,
1.6t N-Line Ultimate Awd W/two-Tone Roof,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5K1ANLBA,2025,461896,4,N-Line Ultimate,
1.6t Preferred Sport Awd,ALL_WHEEL_DRIVE,HYUNDAI,Kona,KOCW5K1APRSP,2025,461897,4,Preferred Sport,
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KEEW5ZE4PR00,2025,461932,4,Preferred,electric
Ultimate Fwd *ltd Avail*,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KE2SEFEME400,2025,461933,4,Ultimate,electric
Ultimate Fwd W/two-Tone Interior *ltd Avail*,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KE2SEFEME466,2025,461934,4,Ultimate w/Two-Tone Interior,electric
Ultimate Fwd W/sage-Green Interior *ltd Avail*,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KE2SEFEME4BF,2025,461935,4,Ultimate w/Sage-Green Interior,electric
Preferred Fwd W/trend Package,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KEEW5ZE4PRTR,2025,461936,4,Preferred w/Trend Package,electric
N-Line Ultimate Fwd *ltd Avail*,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KE2SEFEMEO20,2025,461937,4,N-Line Ultimate,electric
Preferred Fwd W/ultimate Package,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KEEW5ZE4PRUP,2025,462604,4,Preferred w/Ultimate Package,electric
Preferred Fwd W/ultimate Package Two-Tone,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KEEW5ZE4PRUT,2025,462605,4,Preferred w/Ultimate Package Two-Tone,electric
Preferred Fwd W/ultimate Package Green Interior,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KEEW5ZE4PRUG,2025,462606,4,Preferred w/Ultimate Package Green Interior,electric
Preferred Fwd W/n-Line Ultimate Package,FRONT_WHEEL_DRIVE,HYUNDAI,Kona Electric,KEEW5ZE4PRNU,2025,462607,4,Preferred w/N Line Ultimate Package,electric
Preferred Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,NEXO,NXFW5ZH1PR00,2025,464373,4,Preferred,
Ultimate Fwd,FRONT_WHEEL_DRIVE,HYUNDAI,NEXO,NXFW5ZH1UL00,2025,464374,4,Ultimate,
Urban 8-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade,PACW8K3DUR00,2025,456016,4,Urban,
Urban 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade,PACW7K3DUR91,2025,456017,4,Urban,
Ultimate Calligraphy 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade,PACW7K3DULC7,2025,456018,4,Ultimate Calligraphy,
Ultimate Calligraphy W/beige 7-Passenger Awd,ALL_WHEEL_DRIVE,HYUNDAI,Palisade,PACW7K3DULCB,2025,456019,4,Ultimate Calligraphy,
